spa,quz
los expertos descubrieron una conexión entre el mortífero temblor y la excesiva extracción de agua subterránea para riego en ciertos lugares.,"hallp’ata estudiaq runakunapaqqa chay terremotoqa pasanman karqan runakuna nishuta hallp’a ukhumanta unuta horqosqankuraykus, chaytaqa chakrakunata qarpanankupaqmi ruwarqanku."
"en dos mil doce, los turistas chinos gastaron ciento dos.cero millones de dólares viajando por todo el mundo.",china nacionmanta runakunan gastarqanku iskay waranqa chunka iskayniyuq watapi pachak iskayniyuq.ch'usaqniyuq millones dolarkunata huk nacionkunaman viajaspa.
"de acuerdo con la organización mundial del turismo de la onu, esto coloca por primera vez a china a la cabeza de los países que más gastan en turismo internacional, por encima de alemania y estados unidos, cuyos turistas gastaron ochenta y cuatro.cero millones y ochenta y tres.cero millones, respectivamente.","organización mundial del turismo nisqanman hinaqa china nacionmanta runakunan astawan gastarqanku pachantinta viajaspa, alemania nacionqa pusaq chunka tawayug.ch'usaqniyuq millones dolarkunatan gastarqan, estados unidos naciontaq pusaq chunka kimsayug.ch'usaqniyuq millones dolarkunata."
la revista británica de medicina bmj publicó los resultados de un estudio en el que se dio seguimiento a casi sesenta y ocho.cero personas en japón durante un promedio de veintitrés años.,"japón nacionpin huk estudiota ruwarqanku suqta chunka pusaqniyuq.ch'usaqniyuq runakunaq kawsayninkumanta, chaytaqa yaqa iskay chunka kimsayug watapin ruwarqanku."
los investigadores descubrieron que las mujeres nacidas entre mil novecientos veinte y mil novecientos cuarenta y cinco que comenzaron a fumar antes de los veinte años vivieron en promedio diez años menos que las que nunca habían fumado; los hombres vivieron ocho años menos.,"chay estudiopi yachasqankumantan bmj revista willarqan: waranqa jisq'un pachak iskay chunka watamanta waranqa jisq'un pachak tawa chunka phichqa.niyuq watakama naceq warmikunamanta wakinmi manaraq iskay chunka watankuman chayashaspanku fumayta qallarirqanku, mana fumaq warmikunamantaqa paykunan chunka wata ñawpaqta wañukapurqanku, fumaq qharikunataq pusaqniyuq wata ñawpaqta."
"se ha prohibido la importación, producción y utilización de bolsas de plástico en el país a fin de proteger a los animales marinos y terrestres, que pueden morir si se las tragan.",plasticomanta bolsakunatan manaña ruwankuñachu nitaqmi huk nacionkunamantapas rantinkuñachu.
el gobierno está promoviendo el uso de bolsas biodegradables.,"animalkunan chay bolsakunata mikhuspa wañunkuman, chayraykun gobiernoqa runakunata yanapashan usqhaylla chinkapuq bolsakunata utilizanankupaq."
las pérdidas del sector asegurador debidas a desastres climáticos ascienden a unos cincuenta.cero millones de dólares anuales.,wasikunata hukkunatapas aseguraq empresakunan watapi yaqa phichqa. chunka.ch'usaqniyuq millones dolarkunata gastanku lloqllakuna otaq hukkuna pasasqanrayku.
"tomando en cuenta la inflación, dichas pérdidas han aumentado a más del doble cada década desde los años ochenta.",imapas askha qolqewan rantinapaq kasqanraykun waranqa jisq'un pachak pusaq chunka watakunamantapacha gastasqankuqa sapa chunka wata iskay kuti mastaraq yapakun.
jesús no afirmó que el hombre hubiera adquirido sus riquezas con artimañas o ilegalmente.,"jesusqa manan chay runamanta niranchu, suwakuspan qhapaq kayta tariran nispa, nitaq millay runata hinachu rikuchiran."
el dinero es la raíz de todos los males.,qolqen tukuy mana allinkunata paqarichin.
el dinero no es lo que causa los males; lo que los causa es “el amor al dinero ”.,"manan qolqechu mana allinkunataqa rikhurichin, aswanpas “qolqe sonqo kaymi ”."
"insatisfacción: el que ama “la plata nunca estará satisfecho con plata ”, ni el que ama“ la riqueza , con los ingresos ” que pueda obtener.","astawanmi munanku, eclesiastés phichqa.niyuq: chunka texton nin: “qolqeman sonqollikuqqa, astawanpunin munan, imaymanayoq kayta munaqpas, astawanraqmi tariyta munan ”, nispa."
,“qolqeyoq kaypas runatan waqaychan ” 
el dinero da seguridad y felicidad.,qolqeyoq kaspaqa thakmi kusisqa kawsanki.
el dinero es muy engañoso.,qolqeqa q’otukuqmi.
"tiene el poder de hacerle creer a la gente que puede comprar la felicidad y la seguridad, pero eso no es más que un mito.","runakunaqa qolqewanmi sonqonkuta suwachikunku, paykunaqa piensankun qolqeyoq kaspaqa kusisqa thakpi kawsanankupaq, ichaqa chayqa yanqapunin."
"aun así, “resuelve muchos problemas ”.",chaywanpas qolqeqa imaymana sasachakuykunapin yanapawasunman .
"por ejemplo, el dinero sirve para comprar cosas básicas como comida y medicamentos.",qolqewanmi rantiyta atisunman mikhunata hampikunatapas.
también sirve para cuidar a la familia.,familiata uywanapaqpas yanapawanchismi.
,“gastananpaqmi ñawpaqtaraq qolqenta yupan ” 
el dinero debe usarse de una manera que agrade a dios.,qolqetaqa diosta kusichinapaq hinan utilizananchis.
se debe emplear con responsabilidad y honradez.,chaymantapas qolqetaqa allintan utilizananchis manan engañanapaqchu.
"para evitar los problemas que surgen de vivir por encima de los medios de uno, la biblia aconseja: “que su modo de vivir esté exento del amor al dinero ”.","kapuqnillanchiswan kawsaspaqa manan sasachakuykunapi tarikusunchu, chayraykun biblia kayta niwanchis: “ama qolqe sonqo kaychischu ”, nispa."
"la biblia no condena las deudas, pero sí advierte que “el que toma prestado es siervo del hombre que hace el préstamo ”.","bibliaqa manan ninchu qolqemanta manupi kay hucha kasqanta, ichaqa willanmi manukuqqa manuqninpa kamachin kasqanta ."
"evitar los gastos impulsivos es sabio, pues “todo el que es apresurado se encamina de seguro a la carencia ”, sí, a la pobreza.","usqhaylla imapipas qolqeta gastayqa manan allinchu, biblian nin: ‘ usqhayllata qhapaqyayta munaqqa wakchayapunmi ’, nispa ."
lo mejor es separar algo de dinero según las posibilidades de uno y ahorrarlo para las cosas importantes.,"ichaqa importante ruwaykunapaq qolqenchista huñuyqa allinpunin, chaytaqa atisqanchisman hinan ruwasunman."
la biblia nos aconseja que nos acostumbremos a dar.,biblian yuyaychawanchis qoykukuq kananchispaq.
todo el que desea agradar a dios debe ser generoso porque dios ama al que da con alegría.,"diosta kusichiyta munaqqa qoykukuqmi kanan, “diosqa kusisqa qoqtan munakun ”."
"de modo que no olvide “hacer el bien y el compartir cosas con otros, porque dichos sacrificios le son de mucho agrado a dios ”.","chayrayku ‘ ama allinkaq ruwaytapas yanapakuytapas qonqaychischu, chay hina sacrificiokunawanmi diosqa kusikun ’."
¡qué feliz me siento de tener el apoyo constante de jehová y contarme entre su pueblo! ”.,¡anchatan kusikuni jehová diospa yanapayninta chaskispa llaqtan ukhupi kasqaymantapas! ”
"cuando eran novios, parecían tener mucho en común; ahora la desilusión ha abierto una brecha entre ustedes.","esposaykiwan reqsinakushaspaqa kaqllachá gustoykichis karqan, ichaqa kunanqa manapaschá chaynañachu."
antes se sentían como almas gemelas; ahora se sienten como almas en cadenas.,"qallariypiqa nirqankichá “payqa ñoqapaq hinapunin ” nispa, kunanqa ichaqa manañapaschá chaytachu ninki."
"no se preocupen, hay esperanza para su matrimonio.",ichaqa kanmi chaypaq yanapaykuna.
"el trabajo, los niños, los suegros...",sapa p’unchay kaq ruwaylla.
"poco a poco, la rutina puede quitarle el encanto al matrimonio.","sapa p’unchay llank’aypas, wawaykikunata uywaypas, suegroykikunawan kawsaypas esposaykiwan munanakusqaykichistan pisiyachinman."
también los problemas inesperados como un revés económico o una enfermedad crónica en la familia pueden someterlo a presión.,"chaymantapas yaqapaschá qolqeykichis pisinman otaq mayqenniykichispas sinchita onqonman, chaykunapas munanakusqaykichistan pisiyachinman."
diferencias “irreconciliables ”.,hukniray kasqaykichista reparasqaykirayku.
durante el noviazgo suelen pasarse por alto las diferencias de pareja.,reqsinakushaspaykichisqa manapaschá repararqankichischu imakunapi hukniray kasqaykichista.
"pero después de la boda, el esposo y la esposa descubren lo diferentes que son para comunicarse, administrar el dinero, resolver los problemas, etc.","ichaqa casarakusqaykichis qhepamanqa repararqankichischá imayna rimasqaykichispi, qolqeta gastaypi, problemakuna allichaypi, hukkunapipas hukniray kasqaykichista."
las diferencias que antes no tenían importancia ahora son insoportables.,qallariypi mana reparasqaykichiskunaqa kunanqa mana aguantay hinapaschá.
distanciamiento emocional.,imayna sientekusqaychista mana willanakusqaykichisrayku.
"la acumulación de palabras y acciones desconsideradas y de conflictos sin resolver hace que alguno de los dos se encierre o, peor aún, empiece a formar vínculos emocionales con otra persona.","sichus sapa kutilla mana allintachu tratanakunkichis, problemaykichistapas mana allichankichischu chayqa, hukniykichismi imayna sientekusqanmanta mana willakuyta munanqachu, hinaspapas yaqapaschá huk runawan hukllachakuyta qallarinqa."
expectativas poco realistas.,mana allinta yuyaykuspa casarakusqankurayku.
algunos se casan pensando que han encontrado a su alma gemela.,"wakinqa kayta nispan casarakurqanku: “payqa ñoqapaq hinan ”, nispa."
concéntrense en las cualidades del otro.,qosaykiq allinkuna ruwasqanpi piensay.
escriban una lista con tres cualidades de su cónyuge en algo que siempre lleven encima tal vez en una foto de boda o en su teléfono y léanla con frecuencia.,"huk listapi qelqay qosaykiq kinsa allinkuna ruwasqanmanta, hinaspa chaykunata churay casarakusqaykichis fotopi otaq celularniykipi, chaytataq sapa kutilla leey."
así recordarán por qué se casaron.,chhaynapin yuyarinki imarayku casarakusqaykichista.
hagan algo especial juntos.,kuska kanaykichispaq tiempota t’aqaychis.
¿verdad que cuando eran novios procuraban hacer cosas juntos?,reqsinakushaspaykichisqa imatapas kuskan ruwayta munarqankichis.
"era algo nuevo y emocionante, y nunca lo dejaban a la casualidad.","kallpachakurqankichismi kuska lloqsinaykichispaq, chaywantaq kusisqa karqankichis."
¿por qué no hacen algo parecido ahora?,¿kallpachakuwaqchischu kunanpas kaqllata ruwanaykichispaq?
"dedíquense tiempo, planeen actividades especiales, como cuando eran novios.",kuska kanaykichispaq tiempota t’aqaychis.
expresen sus sentimientos.,imayna sientekusqaykichismanta rimaychis.
"si uno de los dos hizo o dijo algo que hirió al otro, ¿podría pasarse por alto?","sichus qosayki imatapas nisqanrayku otaq ruwasqanrayku k’irisqa sientekunki chayri, ¿atiwaqchu chay ruwasqanta qonqapuyta?"
no se precipiten a pensar que su cónyuge tiene malas intenciones.,ama mana allintaqa qosaykimanta piensaychu.
lo más seguro es que ninguno haya querido herir al otro.,qosaykiqa manachá k’irisqa sientekunaykiraykuchu imatapas ruwarqan.
"sigan este consejo bíblico: “háganse bondadosos unos con otros, tiernamente compasivos, y perdónense liberalmente unos a otros ”.","bibliaq nisqanta kasukuychis, ninmi: “sumaq sonqo kaychis, khuyapayanakuq, pampachaykunakuq ”, nispa."
sean realistas.,problemakunaqa kallanqapunin.
la biblia reconoce que los matrimonios tendrán problemas.,bibliaqa willanmi casarasqakunapaq problemakuna kananta.
"así que cuando surja alguno, no concluyan que casarse fue un error.",chayrayku problemayki kaqtinqa ama niychu “ama casarakuymanchu karqan ” nispaqa.
resuelvan las diferencias juntos y “continúen soportándose y perdonándose ”.,"aswanpas problemaykichista kuska allichaychis hinaspapas “paciencianakuychis, pampachaykunakuychis ” ima."
¿recuerdan la promesa que hicieron cuando se casaron?,¿yuyarishankichu casarakushaspaykichis promesa ruwasqaykichista?
piensen en ella y pregúntense: “¿me estoy esforzando por cumplirla? ”.,"chhayna kaqtinqa tapukuy: “¿kallpachakushanichu chay promesata hunt’anaypaq? ”, nispa."
resistan la tentación de cuestionar si su cónyuge lo está haciendo o no.,ama nishutaqa piensaychu qosayki chayta ruwashanchus icha manachus chaytaqa.
"con su voto, cada uno se comprometió a hacer algo.",promesata ruwaspaykichisqa sapankaykichismi nirqankichis chayta hunt’anaykichispaq.
"si cada uno se esfuerza por cumplir con ese compromiso, es muy probable que ambos se sorprendan con los resultados.","sichus sapankaykichis kallpachakunkichis chayta hunt’anaykichispaq chayqa, reparankichischá chayta ruwaspa iskayniykichis allinta kawsasqaykichista."
las lágrimas nos acompañan desde el día en que nacemos.,llapanchismi nacesqanchismantapacha waqanchis.
"un especialista explica que cuando somos bebés, el llanto es nuestro segundo “cordón umbilical ”, pues lo usamos para pedir que se satisfagan las necesidades físicas y emocionales que tenemos.","chaykunamanta yachaq runaq nisqanman hinaqa, wawakunaqa waqaspan imatapas mañakunku."
"pero si con el tiempo desarrollamos otras formas de comunicación, ¿por qué seguimos llorando?","ichaqa wiñaspaqa hukniraytan imatapas mañakunchis, chaywanpas mayninpiqa waqanchismi, ¿imarayku?"
"lloramos por varias razones: por tristeza, frustración, dolor físico o emocional...","imaymanamantan waqanchis: llakisqa kasqanchisrayku, imapas mana allin lloqsisqanrayku, imapas nanawasqanchisrayku, hukkunamantapas."
hasta las situaciones imaginarias de una película o un libro pueden arrancarnos lágrimas.,peliculapi qhawasqanchispas otaq libropi leesqanchispas manaña cheqaqchu kankuman chaypas waqachillawasunmantaqmi.
"sea cual sea la razón, el llanto es una poderosa forma de comunicación no verbal.","imamantaña waqanchis chaypas, waqasqanchismi hukkunaman rikuchin imayna sientekusqanchista."
"el libro adult crying (por qué lloran los adulto indica: “pocas veces se puede expresar tanto en tan poco tiempo ”. además, las lágrimas producen reacciones en otros.",¿imaraykun kurakkuna waqanku? (inglés simip nisqa libroq nisqan hinaqa waqaspan “imayna sientekusqanchista ratollan rikuchinchis ”.
"por ejemplo, difícilmente podemos ignorar las lágrimas de tristeza, pues nos dicen que alguien está sufriendo.","chaymantapas llakikuymanta waqaqta rikuspaqa, reparanchismi mana allinpi tarikusqanta hinaspan yanapayta munanchis."
otros opinan que los beneficios físicos y psicológicos del llanto no han sido comprobados aún por la ciencia.,"wakintaq ichaqa ninku: “cientificokunaqa manaraqmi allintachu yachanku waqay imapaqchus allin kasqanta ”, nispa."
"sin embargo, según las encuestas, el ochenta y cinco% de las mujeres y el setenta y tres% de los hombres aseguran sentirse mejor después de llorar.","ichaqa runakunata tapusqankupin pachak warmikunamanta pusaq chunka phichqa.niyuq nirqanku waqasqanku qhepaman allin sientekusqankuta, pachak qharikunamantapas qanchis chunka kimsayug kaqllatataq nirqanku."
noemí comenta: “a veces sé que necesito llorar.,noemí warmipas nirqanmi: “mayninpin waqaytan munani.
"luego respiro hondo y puedo ver las cosas con más claridad, en su debida perspectiva ”.","waqasqay qhepamantaqmi thak sientekuni, hinaspañan aswan allinta imamantapas yuyaykuni ”, nispa."
"según las encuestas, el ochenta y cinco% de las mujeres y el setenta y tres% de los hombres aseguran sentirse mejor después de llorar","runakunata tapusqankupin pachak warmikunamanta pusaq chunka phichqa.niyuq nirqanku waqasqanku qhepaman allin sientekusqankuta, pachak qharikunamantapas qanchis chunka kimsayug kaqllatataq nirqanku"
"por ejemplo, si nos ayudan, sentimos alivio, pero si la respuesta no es tan positiva, podemos sentir rechazo y vergüenza.","waqasqanchis ratopi pipas sonqochawasun chayqa thakmi sientekusun, ichaqa mana chhayna kaqtinqa, mana munasqa, p’enqasqa ima sientekusunman."
"en fin, las lágrimas siguen siendo hasta cierto grado un misterio.",runakunaq waqasqankumantaqa manan lliwtachu yachakun.
lo que sí está claro es que el llanto es una de las respuestas emocionales más fascinantes que el creador nos ha otorgado.,"ichaqa kaytan sut’ita yachanchis: runaqa waqaspan rikuchin imayna sientekusqanta, diosmi chhaynata kamawarqanchis."
"por lo general, los recién nacidos no derraman lágrimas al llorar, pues sus ojos están bastante hidratados y protegidos.",yaqa lliw chayllaraq naceq wawakunaq ñawinkuqa allin cuidasqan kashan chaymi waqaqtinku weqenku mana lloqsinchu.
"estas aparecen varias semanas después, cuando los conductos lagrimales terminan de desarrollarse.","ichaqa askha semanakuna qhepamanmi weqenku lloqsimun, maynintachus weqe lloqsimunan allinña kaqtin."
lágrimas basales.,ñawiq mana ch’akinanpaq weqe.
son producidas constantemente por las glándulas lagrimales para proteger y lubricar los ojos.,chay weqeqa yanapawanchismi allinta rikunanchispaq.
"cada vez que pestañeamos, recubren la superficie del ojo.",chay weqeqa sapa ch’illmiykuqtinchismi lloqsimun.
lágrimas reflejas.,ñawita cuidaq weqe.
inundan los ojos siempre que una partícula o sustancia irritante entra en ellos.,chay weqeqa lloqsimun ñawinchisman ima q’opachapas haykuqtinmi.
"también se producen en muy diversas situaciones, como cuando bostezamos o nos reímos.",chaymantapas lloqsimunmi hanllapakuqtinchis otaq asikuqtinchis.
lágrimas emocionales.,imayna sientekusqanchisman hina lloqsiq weqe.
solo las producen los seres humanos y son el resultado de las emociones intensas.,"chay weqeqa runakunallamantan lloqsin, imayna sientekusqanchisman hina."
su concentración proteínica es un veinticuatro% mayor que la de las lágrimas reflejas.,chay weqepin aswan askha proteinakuna kan ñawita cuidaq weqemantaqa.
"así, tendremos “franqueza de expresión ” cuando le oremos a dios.","sichus jehová diosman hap’ipakusun, wayqe panantin munanakusun, manataq huchapi purisunchu chayqa, sonqonchisqa mana huchachawasunchu, ahinapin ‘ mana manchakuspa ’ diosman asuykusun mañakuypi."
"y él, por su parte, nos contestará porque observamos sus mandamientos.",paytaq mañakuyninchista uyarinqa kamachikuyninkunata kasukusqanchisrayku.
personas que sí pecaron contra el espíritu,wakin runakuna santo espíritu contra huchallikuranku
¿qué es lo más importante para determinar si un pecado es o no perdonable?,¿imaynapi yachakunman ima huchapas pampachanaraqchus icha manañachus chayta?
¿qué pecados son imperdonables?,¿ima huchakunataq mana pampachana kanman?
contestemos esta pregunta con algunos ejemplos bíblicos.,chayta yachanapaq bibliapi ejemplokunata qhawarisun.
"estos nos consolarán si hemos cometido un pecado grave y, a pesar de habernos arrepentido, seguimos sintiéndonos muy afligidos.",chaykunamanta yachaymi kallpachawasunchis sichus hatun huchaman urmasqanchismanta pesapakuspaña sinchitaraq llakikushanchis chayqa.
"veremos que lo más importante para determinar si un pecado es o no perdonable no es el pecado en sí, sino lo que motiva a la persona, lo que hay en su corazón y hasta qué punto actuó deliberadamente.","chaypi kayta yachasunchis: hucha pampachasqa otaq mana pampachasqa kananpaqqa manan hucha ruwakusqallantachu qhawarikunan, aswanpas qhawarikunan imarayku runa huchallikusqanta, sonqon imayna kasqanta, maykama huchallikusqantapas."
¿cómo pecaron contra el espíritu santo algunos líderes religiosos judíos del siglo primero?,¿imaynatan judío umallikuna santo espirituq contranpi huchallikuranku?
los líderes religiosos judíos del siglo primero que se opusieron con malicia a jesucristo pecaron contra el espíritu santo.,ñawpaq kaq siglopi jesuspa contranpi churakuq judío umallikunaqa santo espirituq contranpi huchallikuranku.
"según jesús, los que blasfemaban de ese modo contra el espíritu santo de dios cometían un pecado que no se perdonaría “en este sistema de cosas ni en el venidero ”.","jesuspa nisqan hina, diospa santo espiritun contra mana allinta rimaspa pisichaqkunaqa manan pampachasqachu kanqaku, ‘ aswanmi wiñaypaq huchayoq kapunku ’."
"¿qué es blasfemar, y qué dijo jesús al respecto?","¿iman mana allinta rimaspa pisichay, imanirantaq jesús chaymanta?"
"blasfemar es emplear expresiones difamatorias, injuriosas o insultantes contra las personas o cosas sagradas.","dios contra otaq runa contra mana allinta rimaspa pisichayqa yanqamanta tumpaymi, k’arak simikunawan k’amiymi."
"como el espíritu santo procede de dios, hablar contra ese espíritu es lo mismo que hablar contra dios.","diosmantataq santo espíritu paqarimun chayqa, chay espíritu contra rimayqa dios contra rimayllataqmi."
quienes hacen tal cosa y no se arrepienten no reciben perdón.,chay huchaman urmaspa mana pesapakuqkunaqa manan pampachasqachu kanqaku.
lo que jesús dijo sobre ese tipo de pecado muestra que él se refería a quienes se oponen deliberadamente a la actuación del espíritu santo de dios.,"wakin runakunaqa yuyaypipuni diospa santo espiritun contra churakuranku, chaymi jesús rimaran mana pampachana huchamanta."
"el espíritu de jehová estaba actuando mediante jesús y, aun así, los enemigos de cristo atribuían ese poder al diablo.","cristoq awqankunaqa repararankun jehová diospa espiritunwan jesús milagrokuna ruwasqanta, chaywanpas niranku: saqraq atiyninwanmi ruwashan, nispa."
"de ese modo, cometieron el pecado de blasfemar contra el espíritu.",chhaynapin diospa santo espiritunta pisicharanku.
"jesús dijo al respecto: “cualquiera que blasfema contra el espíritu santo no tiene perdón jamás, sino que es culpable de pecado eterno ”.","jesusmi chaymanta niran: “pipas santo espíritu contra mana allinta rimaspa pisichaqmi ichaqa mana hayk’aqpas pampachasqachu kanqa, aswanmi wiñaypaq huchayoq kapun ”, nispa."
¿por qué llamó jesús a judas “el hijo de destrucción ”?,"¿imaraykun jesús judasta suticharan ‘ chinkananpuni kaq runa ’, nispa?"
pensemos también en el caso de judas iscariote.,kunanqa rimasun judas iscariotemanta.
"judas se comportaba de forma deshonesta, pues robaba dinero de la caja que se le había confiado.","judasmanqa qolqe churana cajatan hap’ichiranku, ichaqa suwakullaqpuni kasqa."
finalmente se puso de acuerdo con los gobernantes judíos para traicionar a jesús por treinta piezas de plata.,qhepamantaq judasqa judío kamachikuqkunawan rimanakuran kimsa chunka qolqerayku jesusta hap’ichinanpaq.
"es verdad que después de traicionarlo sintió remordimiento, pero en ningún momento se arrepintió de su pecado deliberado.",chay ruwasqanmanta sonqonña huchacharan chaypas manapunin pesapakuranchu.
"como consecuencia, judas no es digno de ser resucitado, y por eso jesús lo llamó “el hijo de destrucción ”.","chayraykun judasqa mana kawsarichisqachu kanqa, chaymi jesús suticharan ‘ chinkananpuni kaq runa ’, nispa."
personas que no pecaron contra el espíritu,espirituq contranpi mana huchallikuqkuna
"diana es una joven inteligente, simpática y sociable.","diana sutiyoq sipasqa yuyaysapan, sumaq rikch’ayniyoq, kusisqallataqmi purinpas."
"pero detrás de su encantadora sonrisa se esconde una profunda tristeza que la deja sintiéndose inservible por días, semanas y hasta meses.","ichaqa kusisqaña rikukun chaypas, payqa sonqon ukhupin sinchi llakisqalla tarikun, mana valeqpaq hinataq qhawarikunpas."
“no pasa un día sin que piense en morirme dice ella .,paymi nin: “sapa p’unchaymi nini ‘ wañukapuyman ’ nispa.
"aunque diana dice que jamás se quitaría la vida, a veces no encuentra razones para seguir viviendo.","dianaqa manas hayk’aqpas pay kikintaqa wañuchikunmanchu, ichaqa mayninpiqa mana yachanchu imarayku kawsashanallan kasqanta."
“mi mayor deseo es tener un accidente y morir añade .,paymi nin: “astawanqa munayman accidentepi wañukapuytan.
"muchas personas se sienten como diana, y algunas de ellas han pensado, o incluso intentado, terminar con su vida.","askha runakunan diana hina sientekunku, wakinqa yuyaykurqankuraqmi kikinkuta wañuchikunankupaq, hukkunataq yaqalla wañuchikurqanku."
"sin embargo, de acuerdo con los expertos, lo que realmente buscan estas personas no es acabar con su vida, sino con su sufrimiento.",estudioso runakuna nisqankuman hinaqa chaytaqa ruwanku manaña ñak’ariyta munaspankun.
"creen que tienen razones para morir, y lo que necesitan son razones para vivir.","paykunaqa piensanku wañukapuy allin kasqanta, ichaqa yachanankun kawsashallay imarayku allin kasqanta."
¿vale la pena seguir viviendo?,¿imaraykun kawsashanalla?
veamos tres razones que muestran que sí.,yachasun kinsamanta.
mito: hablar del suicidio o tan solo decir la palabra fomenta el deseo de quitarse la vida,"yanqa rimaykuna: wañuchikuymanta rimayqa otaq chay simita niyllapas, runakunatan kallpachan wañuchikunankupaq."
realidad: hablar abiertamente del tema puede ayudar a una persona a pensar en otras opciones,cheqaq kaq: chaymanta sut’ita rimayqa runakunatan yanapan manaña wañuchikuypi piensanankupaq.
se ha cambiado el nombre.,sutinmi cambiakurqan.
la cualidad de la gran paciencia nos ayuda a aguantar cuando nos dicen o hacen cosas que nos hieren o demuestran falta de consideración.,ancha pacienciayoq kayqa yanapawanchismi pipas rimayninwan k’iriwaqtinchis otaq mana allinta ruwawaqtinchis aguantananchispaq.
"“tengan gran paciencia para con todos ”, exhortó pablo a sus hermanos cristianos.","apóstol pablon iñiqmasinkunata niran: “llapapaqpas pacienciayoq kaychis ”, nispa."
"como todos somos imperfectos y nos equivocamos, agradecemos que los demás sean pacientes con nosotros cuando no los tratamos debidamente.","llapanchismi pantanchis, chaymi pitapas sientechiqtinchisqa munasunman pacienciawan aguantawananchista."
la benignidad y la bondad,sumaq sonqo kaywan allin runa kaywan
¿y si la situación no cambia?,"ichaqa, ¿sichus problemakuna mana allichakunmanchu chayri?"
"de todos modos, lo mejor es hacerle frente, pero poco a poco.",kallpachakunanchismi pisi pisimanta chayta allichanapaq.
"jesús aconsejó: “nunca se inquieten acerca del día siguiente, porque el día siguiente tendrá sus propias inquietudes.","jesusmi nirqan: “ama llakipakuychischu paqarinmantaqa, paqarinpas llakikuyqa kallanqapunin."
suficiente para cada día es su propia angustia ”.,"sapa p’unchay llakikuyqa chay p’unchayllapaq kachun ”, nispa."
"tal vez esté enfrentándose a una enfermedad crónica, el fracaso de su matrimonio, la pérdida de un ser querido u otra circunstancia irremediable.","yaqapaschá esposaykimanta otaq qosaykimanta t’aqakurqanki, nishutapaschá onqoshanki, munakusqayki runapaschá wañupurqan otaq ima problemaykipaschá kashan."
¿qué puede ayudarlo en esos casos?,"chhaynapi tarikushanki chayqa, ¿iman yanapasunkiman?"
"aceptar que hay cosas que no puede cambiar y concentrarse en las que sí puede cambiar, como su manera de enfrentarse a las dificultades.",manan lliw problemakunachu allichakunqa.
así podrá ver la situación desde un ángulo más positivo.,ichaqa yuyaykuwaqmi chay problemaykita hukniraymantañataq allichaypi.
"quizás encuentre otras formas de manejarla en vez de pensar en soluciones drásticas, como el suicidio.",chayta ruwaymi yanapasunki ama nishuta llakikunaykipaq .
"al final, verá que es posible controlar, hasta cierto grado, circunstancias que parecían incontrolables.","chaymantapas yachawaqmi chay problemaykita aguantanaykipaq imakuna ruwayta, chhaynapin manaña wañuchikuypichu piensanki."
"recuerde: si un problema le parece demasiado grande, trate de superarlo poco a poco.",chayta ruwaspaqa reparankin hatun problemakuna mana sinchi sasachu kasqanta .
qué puede hacer: hable con un familiar o un amigo sobre su situación.,imayna tarikusqaykimanta huk familiaykiwan otaq reqsisqayki runawan rimay.
tal vez ellos puedan ayudarle a verla con más equilibrio.,paykunan yanapasunkikuman ama nishuta llakikunaykipaq .
lea las palabras de cuatro siervos de dios que llegaron a sentir tal desesperación que perdieron el deseo de vivir.,"yachasun diosta serviq tawa runakunamanta, paykunaqa llakikuyninkuwan mana ima ruwayta atispanku wañukapuyllataña munarqanku."
"rebeca: “si esto va a ser así, ¿para qué seguir viviendo? ”.","rebeca: “sichus ahinallapuni kanqa chayqa, ¿imapaqñataq kawsaymanri? ”"
"elías: “quítame la vida, porque no soy mejor que mis antepasados ”.","elías: “kawsayniyta qechupuway, manan ñawpa taytaykunamanta aswan allinchu kani ” ."
job: “¿por qué no me morí al nacer? ”.,job: “¿imaraykun mana nacerqamuspa hinachu wañukapurqani? ”
lo mismo podría pasarle a usted.,qanpa problemaykikunapas allichakunmanmi .
así que no se rinda.,chhaynaqa ama pisikallpayaychu.
"en otras palabras, no dijo que fuera una mala persona.",aswanmi rimasqanpi reparanchis chay runaqa anchata llank’aspa qhapaqman tukupusqanta.
¿cómo se enfrentó un cristiano a sus problemas emocionales?,¿imaynatan huk cristiano atiparan sasachakuyninkunata?
"dios creó a dos seres humanos, adán y eva, y les mandó: “sean fructíferos y háganse muchos y llenen la tierra y sojúzguenla ”.","diosmi kamarqan adantawan evatawan, paykunatan kamachirqan: “askhata miraychis, kay pachamanpas hunt’aykuychis, chaypi munayniyoq kaychis ”, nispa ."
"por lo tanto, adán y eva son los padres de la humanidad entera.",chhaynaqa adanwan evawanmi llapa runakunaq tayta maman kanku.
asistir a las reuniones tampoco se le hacía nada fácil.,paypaqqa sasan karan huñunakuykunaman riypas.
"en cambio, el documento de la unesco antes citado reconoce “la unidad intrínseca de la especie humana y, por consiguiente, la igualdad fundamental de todos los seres humanos y todos los pueblos ”.","unesco nisqanman hinan ichaqa llapa razakunaqa kaqlla kanku, maymanta paqarimusqanku kaqlla kasqanrayku."
